( Transverse wakefield for ILC 9-cell cavity 18-feb-2005
( For z<6 mm wakes are from equations by Zagorodnov and Weiland, 2003
( For z>6 mm wake supplied by Zagorodnov in private calculation
( #    z[m]           W(z) [V/c/m^2]
303   6.040000e-002   4.728858e+013
304   6.060000e-002   4.666612e+013
305   6.080000e-002   4.603114e+013
306   6.100000e-002   4.538271e+013
307   6.120000e-002   4.471993e+013
308   6.140000e-002   4.404191e+013
309   6.160000e-002   4.334780e+013
310   6.180000e-002   4.263675e+013
311   6.200000e-002   4.190803e+013
312   6.220000e-002   4.116093e+013
313   6.240000e-002   4.039485e+013
314   6.260000e-002   3.960928e+013
315   6.280000e-002   3.880385e+013
316   6.300000e-002   3.797835e+013
317   6.320000e-002   3.713279e+013
318   6.340000e-002   3.626738e+013
319   6.360000e-002   3.538262e+013
320   6.380000e-002   3.447934e+013
321   6.400000e-002   3.355876e+013
322   6.420000e-002   3.262246e+013
323   6.440000e-002   3.167244e+013
324   6.460000e-002   3.071111e+013
325   6.480000e-002   2.974124e+013
326   6.500000e-002   2.876597e+013
327   6.520000e-002   2.778860e+013
328   6.540000e-002   2.681259e+013
329   6.560000e-002   2.584136e+013
330   6.580000e-002   2.487816e+013
331   6.600000e-002   2.392586e+013
332   6.620000e-002   2.298684e+013
333   6.640000e-002   2.206285e+013
334   6.660000e-002   2.115488e+013
335   6.680000e-002   2.026314e+013
336   6.700000e-002   1.938702e+013
337   6.720000e-002   1.852519e+013
338   6.740000e-002   1.767574e+013
339   6.760000e-002   1.683631e+013
340   6.780000e-002   1.600429e+013
341   6.800000e-002   1.517717e+013
342   6.820000e-002   1.435258e+013
343   6.840000e-002   1.352863e+013
344   6.860000e-002   1.270395e+013
345   6.880000e-002   1.187779e+013
346   6.900000e-002   1.105001e+013
347   6.920000e-002   1.022098e+013
348   6.940000e-002   9.391446e+012
349   6.960000e-002   8.562365e+012
350   6.980000e-002   7.734724e+012
351   7.000000e-002   6.909386e+012
352   7.020000e-002   6.086976e+012
353   7.040000e-002   5.267839e+012
354   7.060000e-002   4.452048e+012
355   7.080000e-002   3.639468e+012
356   7.100000e-002   2.829860e+012
357   7.120000e-002   2.022988e+012
358   7.140000e-002   1.218716e+012
359   7.160000e-002   4.170679e+011
360   7.180000e-002   -3.817598e+011
361   7.200000e-002   -1.177433e+012
362   7.220000e-002   -1.969550e+012
363   7.240000e-002   -2.757737e+012
364   7.260000e-002   -3.541724e+012
365   7.280000e-002   -4.321411e+012
366   7.300000e-002   -5.096890e+012
367   7.320000e-002   -5.868414e+012
368   7.340000e-002   -6.636345e+012
369   7.360000e-002   -7.401072e+012
370   7.380000e-002   -8.162932e+012
371   7.400000e-002   -8.922148e+012
372   7.420000e-002   -9.678806e+012
373   7.440000e-002   -1.043286e+013
374   7.460000e-002   -1.118419e+013
375   7.480000e-002   -1.193263e+013
376   7.500000e-002   -1.267805e+013
377   7.520000e-002   -1.342040e+013
378   7.540000e-002   -1.415971e+013
379   7.560000e-002   -1.489609e+013
380   7.580000e-002   -1.562971e+013
381   7.600000e-002   -1.636073e+013
382   7.620000e-002   -1.708927e+013
383   7.640000e-002   -1.781539e+013
384   7.660000e-002   -1.853909e+013
385   7.680000e-002   -1.926027e+013
386   7.700000e-002   -1.997875e+013
387   7.720000e-002   -2.069427e+013
388   7.740000e-002   -2.140653e+013
389   7.760000e-002   -2.211511e+013
390   7.780000e-002   -2.281952e+013
391   7.800000e-002   -2.351920e+013
392   7.820000e-002   -2.421346e+013
393   7.840000e-002   -2.490161e+013
394   7.860000e-002   -2.558290e+013
395   7.880000e-002   -2.625666e+013
396   7.900000e-002   -2.692224e+013
397   7.920000e-002   -2.757914e+013
398   7.940000e-002   -2.822702e+013
399   7.960000e-002   -2.886567e+013
400   7.980000e-002   -2.949501e+013
401   8.000000e-002   -3.011506e+013
402   8.020000e-002   -3.072595e+013
403   8.040000e-002   -3.132780e+013
404   8.060000e-002   -3.192079e+013
405   8.080000e-002   -3.250510e+013
406   8.100000e-002   -3.308088e+013
407   8.120000e-002   -3.364825e+013
408   8.140000e-002   -3.420726e+013
409   8.160000e-002   -3.475793e+013
410   8.180000e-002   -3.530021e+013
411   8.200000e-002   -3.583398e+013
412   8.220000e-002   -3.635904e+013
413   8.240000e-002   -3.687516e+013
414   8.260000e-002   -3.738208e+013
415   8.280000e-002   -3.787947e+013
416   8.300000e-002   -3.836701e+013
